Days,dd/mm/yyyy,CLFR:PROD:10.6.2,CLFR:PROD:11.6.2,CLFR:PROD:215,CLFR:PROD:216,CLFR:PROD:217,CLFR:PROD:218,CLFR:PROD:219,CLFR:PROD:7.6.2,CLFR:PROD:8.6.2,CLFR:PROD:9.6.2,CPI:PROD:10.6.2,CPI:PROD:11.6.2,CPI:PROD:215,CPI:PROD:216,CPI:PROD:217,CPI:PROD:218,CPI:PROD:219,CPI:PROD:7.6.2,CPI:PROD:8.6.2,CPI:PROD:9.6.2,CPR:PROD:10.6.2,CPR:PROD:11.6.2,CPR:PROD:215,CPR:PROD:216,CPR:PROD:217,CPR:PROD:218,CPR:PROD:219,CPR:PROD:7.6.2,CPR:PROD:8.6.2,CPR:PROD:9.6.2,CTFAC:PROD:10.6.2,CTFAC:PROD:11.6.2,CTFAC:PROD:215,CTFAC:PROD:216,CTFAC:PROD:217,CTFAC:PROD:218,CTFAC:PROD:219,CTFAC:PROD:7.6.2,CTFAC:PROD:8.6.2,CTFAC:PROD:9.6.2,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS,
300.00,28/10/1990,484.694,531.288,542.427,487.131,954.46,484.694,531.288,542.427,487.131,954.46,1.78738,2.66466,3.00209,1.85108,3.40079,1.78738,2.66466,3.00209,1.85108,3.40079,3446.24,3445.92,3446.66,3446.64,3446.56,3446.24,3445.92,3446.66,3446.64,3446.56,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38794,879.805,413907,0.026502,633.892,299284,0.788703,2366.11,600716,300,3445.68,879.805,413907,633.892,299284,0.788703,2366.11,600716,0.821355,
400.00,05/02/1991,486.54,528.316,539.777,488.897,956.47,486.54,528.316,539.777,488.897,956.47,1.44947,2.17823,2.54761,1.51791,2.75165,1.44947,2.17823,2.54761,1.51791,2.75165,3443.87,3443.55,3444.29,3444.27,3444.19,3443.87,3443.55,3444.29,3444.27,3444.19,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38857,739.023,487809,0.0312148,532.218,352506,0.822594,2467.78,847494,400,3443.32,739.023,487809,532.218,352506,0.822594,2467.78,847494,1.09514,
500.00,16/05/1991,487.229,527.597,537.331,489.781,958.061,487.229,527.597,537.331,489.781,958.061,1.22976,1.85069,2.22973,1.30146,2.33223,1.22976,1.85069,2.22973,1.30146,2.33223,3442.53,3442.21,3442.94,3442.92,3442.84,3442.53,3442.21,3442.94,3442.92,3442.84,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38902,642.197,552029,0.0353088,462.338,398740,0.845887,2537.66,1.10126e+06,500,3441.97,642.197,552029,462.338,398740,0.845887,2537.66,1.10126e+06,1.36893,
600.00,24/08/1991,487.815,526.902,536.348,490.351,958.584,487.815,526.902,536.348,490.351,958.584,1.07737,1.61055,2.00707,1.15131,2.04545,1.07737,1.61055,2.00707,1.15131,2.04545,3441.87,3441.55,3442.28,3442.26,3442.18,3441.87,3441.55,3442.28,3442.26,3442.18,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38951,572.748,609304,0.0389588,412.195,439960,0.862602,2587.81,1.36004e+06,600,3441.31,572.748,609304,412.195,439960,0.862602,2587.81,1.36004e+06,1.64271,
700.00,02/12/1991,488.181,526.082,535.312,490.408,960.016,488.181,526.082,535.312,490.408,960.016,0.964339,1.42815,1.83127,1.04008,1.83587,0.964339,1.42815,1.83127,1.04008,1.83587,3441.54,3441.23,3441.95,3441.94,3441.85,3441.54,3441.23,3441.95,3441.94,3441.85,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38969,519.343,661238,0.0422681,373.711,477331,0.87543,2626.29,1.62267e+06,700,3440.99,519.343,661238,373.711,477331,0.87543,2626.29,1.62267e+06,1.9165,
800.00,11/03/1992,488.696,525.251,534.364,490.72,960.969,488.696,525.251,534.364,490.72,960.969,0.87766,1.28553,1.69462,0.955352,1.67477,0.87766,1.28553,1.69462,0.955352,1.67477,3441.39,3441.07,3441.8,3441.79,3441.7,3441.39,3441.07,3441.8,3441.79,3441.7,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38973,477.448,708983,0.0453103,343.555,511686,0.885482,2656.44,1.88831e+06,800,3440.84,477.448,708983,343.555,511686,0.885482,2656.44,1.88831e+06,2.19028,
900.00,19/06/1992,489.081,524.599,533.519,491.077,961.723,489.081,524.599,533.519,491.077,961.723,0.808805,1.17247,1.58332,0.888244,1.54806,0.808805,1.17247,1.58332,0.888244,1.54806,3441.31,3440.99,3441.71,3441.7,3441.61,3441.31,3440.99,3441.71,3441.7,3441.61,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38977,443.702,753353,0.0481373,319.264,543613,0.893579,2680.74,2.15639e+06,900,3440.75,443.702,753353,319.264,543613,0.893579,2680.74,2.15639e+06,2.46407,
1000.00,27/09/1992,489.453,523.761,532.506,491.096,963.184,489.453,523.761,532.506,491.096,963.184,0.754463,1.07903,1.4898,0.833535,1.45691,0.754463,1.07903,1.4898,0.833535,1.45691,3441.35,3441.03,3441.76,3441.74,3441.66,3441.35,3441.03,3441.76,3441.74,3441.66,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.3898,416,794953,0.0507879,299.324,573545,0.900225,2700.68,2.42646e+06,1000,3440.8,416,794953,299.324,573545,0.900225,2700.68,2.42646e+06,2.73785,
1100.00,05/01/1993,490.126,522.962,531.543,491.034,964.335,490.126,522.962,531.543,491.034,964.335,0.715438,1.00067,1.40962,0.787798,1.38601,0.715438,1.00067,1.40962,0.787798,1.38601,3441.44,3441.12,3441.84,3441.83,3441.75,3441.44,3441.12,3441.84,3441.83,3441.75,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38983,393.298,834283,0.0532937,282.983,601843,0.905672,2717.02,2.69816e+06,1100,3440.88,393.298,834283,282.983,601843,0.905672,2717.02,2.69816e+06,3.01164,
1200.00,15/04/1993,490.557,522.569,530.599,491.231,965.044,490.557,522.569,530.599,491.231,965.044,0.682053,0.933922,1.34073,0.750888,1.32409,0.682053,0.933922,1.34073,0.750888,1.32409,3441.58,3441.26,3441.98,3441.97,3441.88,3441.58,3441.26,3441.98,3441.97,3441.88,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38986,373.739,871657,0.0556748,268.904,628734,0.910365,2731.1,2.97127e+06,1200,3441.02,373.739,871657,268.904,628734,0.910365,2731.1,2.97127e+06,3.28542,
1300.00,24/07/1993,490.89,522.245,529.763,491.522,965.58,490.89,522.245,529.763,491.522,965.58,0.652261,0.876058,1.28046,0.720925,1.26874,0.652261,0.876058,1.28046,0.720925,1.26874,3441.72,3441.4,3442.13,3442.11,3442.03,3441.72,3441.4,3442.13,3442.11,3442.03,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38989,356.625,907319,0.0579469,256.585,654392,0.914472,2743.41,3.24561e+06,1300,3441.17,356.625,907319,256.585,654392,0.914472,2743.41,3.24561e+06,3.55921,
1400.00,01/11/1993,491.178,521.982,529.008,491.792,966.04,491.178,521.982,529.008,491.792,966.04,0.625526,0.826689,1.22657,0.696394,1.21896,0.625526,0.826689,1.22657,0.696394,1.21896,3441.86,3441.54,3442.27,3442.25,3442.17,3441.86,3441.54,3442.27,3442.25,3442.17,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38992,341.613,941480,0.0601233,245.779,678970,0.918074,2754.22,3.52103e+06,1400,3441.31,341.613,941480,245.779,678970,0.918074,2754.22,3.52103e+06,3.83299,
1500.00,09/02/1994,491.429,521.802,528.319,492.023,966.428,491.429,521.802,528.319,492.023,966.428,0.60153,0.785615,1.17803,0.674251,1.17379,0.60153,0.785615,1.17803,0.674251,1.17379,3441.99,3441.68,3442.4,3442.39,3442.3,3441.99,3441.68,3442.4,3442.39,3442.3,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38995,328.302,974311,0.0622148,236.198,702590,0.921268,2763.8,3.79741e+06,1500,3441.44,328.302,974311,236.198,702590,0.921268,2763.8,3.79741e+06,4.10678,
